index_original,Jour_Incident,Cause_Incident,Nb_TGV_Impactes,Minutes_Retard_Cumulees,Date,Service,Gare de départ,Gare d'arrivée,Durée moyenne du trajet,Nombre de circulations prévues,Nombre de trains annulés,Commentaire annulations,Nombre de trains en retard au départ,Retard moyen des trains en retard au départ,Retard moyen de tous les trains au départ,Commentaire retards au départ,Nombre de trains en retard à l'arrivée,Retard moyen des trains en retard à l'arrivée,Retard moyen de tous les trains à l'arrivée,Nombre trains en retard > 15min,Retard moyen trains en retard > 15 (si liaison concurrencée par vol),Nombre trains en retard > 30min,Nombre trains en retard > 60min,Prct retard pour causes externes,Prct retard pour cause infrastructure,Prct retard pour cause gestion trafic,Prct retard pour cause matériel roulant,Prct retard pour cause gestion en gare et réutilisation de matériel,"Prct retard pour cause prise en compte voyageurs (affluence, gestions PSH, correspondances)"
49,17,Dérangement du poste d’aiguillage de Paris Montparnasse,26,386,2018-01,National,PARIS MONTPARNASSE,BREST,223,281,1,,39,8.1,0.75172619,,19,46.57894737,4.860714286,19,4.826241135,7,4,21.05263158,47.36842105,10.52631579,21.05263158,0.0,0.0
50,1,Tempête Carmen sur la façade Atlantique,52,1079,2018-01,National,PARIS MONTPARNASSE,QUIMPER,220,248,1,,37,9.501351351,1.003981107,,26,55.69230769,7.578947368,26,7.548387097,17,7,26.92307692,38.46153846,15.38461538,19.23076923,0.0,0.0
50,3,Tempête Eleonor sur l’ouest de la France,35,407,2018-01,National,PARIS MONTPARNASSE,QUIMPER,220,248,1,,37,9.501351351,1.003981107,,26,55.69230769,7.578947368,26,7.548387097,17,7,26.92307692,38.46153846,15.38461538,19.23076923,0.0,0.0
50,5,Dérangement d’une aiguille en gare de Massy TGV,57,1254,2018-01,National,PARIS MONTPARNASSE,QUIMPER,220,248,1,,37,9.501351351,1.003981107,,26,55.69230769,7.578947368,26,7.548387097,17,7,26.92307692,38.46153846,15.38461538,19.23076923,0.0,0.0
50,7,Dérangement du poste d’aiguillage de Paris Montparnasse,70,1490,2018-01,National,PARIS MONTPARNASSE,QUIMPER,220,248,1,,37,9.501351351,1.003981107,,26,55.69230769,7.578947368,26,7.548387097,17,7,26.92307692,38.46153846,15.38461538,19.23076923,0.0,0.0
50,12,Colis suspect en gare de Paris Montparnasse,32,499,2018-01,National,PARIS MONTPARNASSE,QUIMPER,220,248,1,,37,9.501351351,1.003981107,,26,55.69230769,7.578947368,26,7.548387097,17,7,26.92307692,38.46153846,15.38461538,19.23076923,0.0,0.0
50,12,Incident caténaire en gare de Rennes,26,2188,2018-01,National,PARIS MONTPARNASSE,QUIMPER,220,248,1,,37,9.501351351,1.003981107,,26,55.69230769,7.578947368,26,7.548387097,17,7,26.92307692,38.46153846,15.38461538,19.23076923,0.0,0.0
50,17,Dérangement du poste d’aiguillage de Paris Montparnasse,26,386,2018-01,National,PARIS MONTPARNASSE,QUIMPER,220,248,1,,37,9.501351351,1.003981107,,26,55.69230769,7.578947368,26,7.548387097,17,7,26.92307692,38.46153846,15.38461538,19.23076923,0.0,0.0
52,1,Tempête Carmen sur la façade Atlantique,52,1079,2018-01,National,PARIS MONTPARNASSE,TOURS,72,186,0,,30,9.582777778,1.09390681,,48,12.23125,4.334856631,9,4.334856631,5,0,19.23076923,46.15384615,11.53846154,19.23076923,3.846153846,0.0
52,3,Tempête Eleonor sur l’ouest de la France,35,407,2018-01,National,PARIS MONTPARNASSE,TOURS,72,186,0,,30,9.582777778,1.09390681,,48,12.23125,4.334856631,9,4.334856631,5,0,19.23076923,46.15384615,11.53846154,19.23076923,3.846153846,0.0
52,5,Dérangement d’une aiguille en gare de Massy TGV,57,1254,2018-01,National,PARIS MONTPARNASSE,TOURS,72,186,0,,30,9.582777778,1.09390681,,48,12.23125,4.334856631,9,4.334856631,5,0,19.23076923,46.15384615,11.53846154,19.23076923,3.846153846,0.0
52,7,Dérangement du poste d’aiguillage de Paris Montparnasse,70,1490,2018-01,National,PARIS MONTPARNASSE,TOURS,72,186,0,,30,9.582777778,1.09390681,,48,12.23125,4.334856631,9,4.334856631,5,0,19.23076923,46.15384615,11.53846154,19.23076923,3.846153846,0.0
52,12,Colis suspect en gare de Paris Montparnasse,32,499,2018-01,National,PARIS MONTPARNASSE,TOURS,72,186,0,,30,9.582777778,1.09390681,,48,12.23125,4.334856631,9,4.334856631,5,0,19.23076923,46.15384615,11.53846154,19.23076923,3.846153846,0.0
52,17,Dérangement du poste d’aiguillage de Paris Montparnasse,26,386,2018-01,National,PARIS MONTPARNASSE,TOURS,72,186,0,,30,9.582777778,1.09390681,,48,12.23125,4.334856631,9,4.334856631,5,0,19.23076923,46.15384615,11.53846154,19.23076923,3.846153846,0.0
