Round Number,Date,Location,Home Team,Away Team,Result
32,04/05/2024 19:00:00,Stade Saint-Symphorien,FC Metz,Stade Rennais FC,2 - 3
32,04/05/2024 21:00:00,Stade Francis-Le Blé,Stade Brestois 29,FC Nantes,0 - 0
32,06/05/2024 21:00:00,Stade Pierre-Mauroy,LOSC Lille,Olympique Lyonnais,3 - 4
32,15/05/2024 21:00:00,Stade de Nice,OGC Nice,Paris Saint-Germain,1 - 2
32,15/05/2024 21:00:00,Stade Auguste Delaune,Stade de Reims,Olympique de Marseille,1 - 0
33,10/05/2024 21:00:00,Stade Francis-Le Blé,Stade Brestois 29,Stade de Reims,1 - 1
33,10/05/2024 21:00:00,Stade de Nice,OGC Nice,Havre AC,1 - 0
33,12/05/2024 21:00:00,Stade Gabriel Montpied,Clermont Foot 63,Olympique Lyonnais,0 - 1
33,12/05/2024 21:00:00,Stade Vélodrome,Olympique de Marseille,FC Lorient,3 - 1
33,12/05/2024 21:00:00,Stade de la Mosson,Montpellier Hérault SC,AS Monaco,0 - 2
33,12/05/2024 21:00:00,Stade de la Beaujoire,FC Nantes,LOSC Lille,1 - 2
33,12/05/2024 21:00:00,Parc des Princes,Paris Saint-Germain,Toulouse FC,1 - 3
33,12/05/2024 21:00:00,Roazhon Park,Stade Rennais FC,RC Lens,1 - 1
33,12/05/2024 21:00:00,Stade de la Meinau,RC Strasbourg Alsace,FC Metz,2 - 1
34,19/05/2024 21:00:00,Stade Océane,Havre AC,Olympique de Marseille,1 - 2
34,19/05/2024 21:00:00,Stade Bollaert-Delelis,RC Lens,Montpellier Hérault SC,2 - 2
34,19/05/2024 21:00:00,Stade Pierre-Mauroy,LOSC Lille,OGC Nice,2 - 2
34,19/05/2024 21:00:00,Stade du Moustoir,FC Lorient,Clermont Foot 63,5 - 0
34,19/05/2024 21:00:00,Parc Olympique Lyonnais,Olympique Lyonnais,RC Strasbourg Alsace,2 - 1
34,19/05/2024 21:00:00,Stade Saint-Symphorien,FC Metz,Paris Saint-Germain,0 - 2
34,19/05/2024 21:00:00,Stade Louis II,AS Monaco,FC Nantes,4 - 0
34,19/05/2024 21:00:00,Stade Auguste Delaune,Stade de Reims,Stade Rennais FC,2 - 1
34,19/05/2024 21:00:00,Stadium de Toulouse,Toulouse FC,Stade Brestois 29,0 - 3
