Round Number,Date,Location,homeTeam,Away Team,Result
24,09/02/2020 15:00:00,Stade de la Mosson,Montpellier Hérault SC,AS Saint-Etienne,1 - 0
24,09/02/2020 17:00:00,Stade de la Meinau,RC Strasbourg Alsace,Stade de Reims,3 - 0
24,09/02/2020 21:00:00,Parc des Princes,Paris Saint-Germain,Olympique Lyonnais,4 - 2
25,15/02/2020 20:00:00,Stade de la Licorne,Amiens SC,Paris Saint-Germain,4 - 4
25,15/02/2020 20:00:00,Matmut Atlantique,Girondins de Bordeaux,Dijon FCO,2 - 2
25,15/02/2020 20:00:00,Stade Francis-Le Blé,Stade Brestois 29,AS Saint-Etienne,3 - 2
25,15/02/2020 20:00:00,Stade Pierre-Mauroy,LOSC,Olympique de Marseille,1 - 2
25,15/02/2020 20:00:00,Groupama Stadium,Olympique Lyonnais,RC Strasbourg Alsace,1 - 1
25,15/02/2020 20:00:00,Stade Louis II,AS Monaco,Montpellier Hérault SC,1 - 0
25,15/02/2020 20:00:00,La Beaujoire-Louis,FC Nantes,FC Metz,0 - 0
25,15/02/2020 20:00:00,Stade des Costières,Nîmes Olympique,Angers SCO,1 - 0
25,15/02/2020 20:00:00,Stade Auguste Delaune,Stade de Reims,Stade Rennais FC,1 - 0
25,15/02/2020 20:00:00,Stadium de Toulouse,Toulouse FC,OGC Nice,0 - 2
26,22/02/2020 20:00:00,Stade Raymond Kopa,Angers SCO,Montpellier Hérault SC,1 - 0
26,22/02/2020 20:00:00,Stade Gaston Gérard,Dijon FCO,AS Monaco,1 - 1
26,22/02/2020 20:00:00,Stade Pierre-Mauroy,LOSC,Toulouse FC,3 - 0
26,22/02/2020 20:00:00,Stade Vélodrome,Olympique de Marseille,FC Nantes,1 - 3
26,22/02/2020 20:00:00,Stade Saint-Symphorien,FC Metz,Olympique Lyonnais,0 - 2
26,22/02/2020 20:00:00,Allianz Riviera,OGC Nice,Stade Brestois 29,2 - 2
26,22/02/2020 20:00:00,Parc des Princes,Paris Saint-Germain,Girondins de Bordeaux,4 - 3
26,22/02/2020 20:00:00,Roazhon Park,Stade Rennais FC,Nîmes Olympique,2 - 1
26,22/02/2020 20:00:00,Stade Geoffroy-Guichard,AS Saint-Etienne,Stade de Reims,1 - 1
26,22/02/2020 20:00:00,Stade de la Meinau,RC Strasbourg Alsace,Amiens SC,0 - 0
27,29/02/2020 20:00:00,Stade de la Licorne,Amiens SC,FC Metz,0 - 1
27,29/02/2020 20:00:00,Matmut Atlantique,Girondins de Bordeaux,OGC Nice,1 - 1
27,29/02/2020 20:00:00,Stade Francis-Le Blé,Stade Brestois 29,Angers SCO,0 - 1
27,29/02/2020 20:00:00,Stade Louis II,AS Monaco,Stade de Reims,1 - 1
27,29/02/2020 20:00:00,Stade de la Mosson,Montpellier Hérault SC,RC Strasbourg Alsace,3 - 0
27,29/02/2020 20:00:00,La Beaujoire-Louis,FC Nantes,LOSC,0 - 1
27,29/02/2020 20:00:00,Stade des Costières,Nîmes Olympique,Olympique de Marseille,2 - 3
27,29/02/2020 20:00:00,Parc des Princes,Paris Saint-Germain,Dijon FCO,4 - 0
27,29/02/2020 20:00:00,Stadium de Toulouse,Toulouse FC,Stade Rennais FC,0 - 2
27,01/03/2020 21:00:00,Groupama Stadium,Olympique Lyonnais,AS Saint-Etienne,2 - 0
28,07/03/2020 20:00:00,Stade Raymond Kopa,Angers SCO,FC Nantes,2 - 0
28,07/03/2020 20:00:00,Stade Gaston Gérard,Dijon FCO,Toulouse FC,2 - 1
28,07/03/2020 20:00:00,Stade Pierre-Mauroy,LOSC,Olympique Lyonnais,1 - 0
28,07/03/2020 20:00:00,Stade Vélodrome,Olympique de Marseille,Amiens SC,2 - 2
28,07/03/2020 20:00:00,Stade Saint-Symphorien,FC Metz,Nîmes Olympique,2 - 1
28,07/03/2020 20:00:00,Allianz Riviera,OGC Nice,AS Monaco,2 - 1
28,07/03/2020 20:00:00,Stade Auguste Delaune,Stade de Reims,Stade Brestois 29,1 - 0
28,07/03/2020 20:00:00,Roazhon Park,Stade Rennais FC,Montpellier Hérault SC,5 - 0
28,07/03/2020 20:00:00,Stade Geoffroy-Guichard,AS Saint-Etienne,Girondins de Bordeaux,1 - 1
