Round Number,Date,Location,Home Team,Away Team,Result
30,20/03/2021 17:00,Allianz Riviera,OGC Nice,Olympique de Marseille,3 - 0
30,21/03/2021 13:00,Stade de la Meinau,RC Strasbourg Alsace,RC Lens,1 - 2
30,21/03/2021 15:00,Stade Francis-Le Blé,Stade Brestois 29,Angers SCO,0 - 0
30,21/03/2021 15:00,Stade Gaston Gérard,Dijon FCO,Stade de Reims,0 - 1
30,21/03/2021 15:00,Stade de la Mosson,Montpellier Hérault SC,Girondins de Bordeaux,3 - 1
30,21/03/2021 15:00,Stade de la Beaujoire,FC Nantes,FC Lorient,1 - 1
30,21/03/2021 17:05,Stade Pierre-Mauroy,LOSC,Nîmes Olympique,1 - 2
30,21/03/2021 21:00,Groupama Stadium,Olympique Lyonnais,Paris Saint-Germain,2 - 4
31,03/04/2021 13:00,Stade Louis II,AS Monaco,FC Metz,4 - 0
31,03/04/2021 17:00,Parc des Princes,Paris Saint-Germain,LOSC,0 - 1
31,03/04/2021 21:00,Stade Bollaert-Delelis,RC Lens,Olympique Lyonnais,1 - 1
31,04/04/2021 13:00,Stade Raymond Kopa,Angers SCO,Montpellier Hérault SC,1 - 1
31,04/04/2021 15:00,Matmut Atlantique,Girondins de Bordeaux,RC Strasbourg Alsace,2 - 3
31,04/04/2021 15:00,Stade du Moustoir,FC Lorient,Stade Brestois 29,1 - 0
31,04/04/2021 15:00,Stade de la Beaujoire,FC Nantes,OGC Nice,1 - 2
31,04/04/2021 15:00,Stade Auguste Delaune,Stade de Reims,Stade Rennais FC,2 - 2
31,04/04/2021 17:05,Stade des Costières,Nîmes Olympique,AS Saint-Etienne,0 - 2
31,04/04/2021 21:00,Orange Vélodrome,Olympique de Marseille,Dijon FCO,2 - 0
32,09/04/2021 21:00,Stade Saint-Symphorien,FC Metz,LOSC,0 - 2
32,10/04/2021 17:00,Stade de la Meinau,RC Strasbourg Alsace,Paris Saint-Germain,1 - 4
32,10/04/2021 21:00,Stade de la Mosson,Montpellier Hérault SC,Olympique de Marseille,3 - 3
32,11/04/2021 13:00,Roazhon Park,Stade Rennais FC,FC Nantes,1 - 0
32,11/04/2021 15:00,Stade Francis-Le Blé,Stade Brestois 29,Nîmes Olympique,1 - 1
32,11/04/2021 15:00,Stade Bollaert-Delelis,RC Lens,FC Lorient,4 - 1
32,11/04/2021 15:00,Allianz Riviera,OGC Nice,Stade de Reims,0 - 0
32,11/04/2021 15:00,Stade Geoffroy-Guichard,AS Saint-Etienne,Girondins de Bordeaux,4 - 1
32,11/04/2021 17:05,Stade Louis II,AS Monaco,Dijon FCO,3 - 0
32,11/04/2021 21:00,Groupama Stadium,Olympique Lyonnais,Angers SCO,3 - 0
33,16/04/2021 21:00,Stade Pierre-Mauroy,LOSC,Montpellier Hérault SC,1 - 1
33,17/04/2021 12:45,Stade Raymond Kopa,Angers SCO,Stade Rennais FC,0 - 3
33,17/04/2021 17:00,Orange Vélodrome,Olympique de Marseille,FC Lorient,3 - 2
33,18/04/2021 13:00,Parc des Princes,Paris Saint-Germain,AS Saint-Etienne,3 - 2
33,18/04/2021 15:00,Stade Francis-Le Blé,Stade Brestois 29,RC Lens,1 - 1
33,18/04/2021 15:00,Stade Gaston Gérard,Dijon FCO,OGC Nice,2 - 0
33,18/04/2021 15:00,Stade des Costières,Nîmes Olympique,RC Strasbourg Alsace,1 - 1
33,18/04/2021 15:00,Stade Auguste Delaune,Stade de Reims,FC Metz,0 - 0
33,18/04/2021 17:05,Matmut Atlantique,Girondins de Bordeaux,AS Monaco,0 - 3
33,18/04/2021 21:00,Stade de la Beaujoire,FC Nantes,Olympique Lyonnais,1 - 2
34,23/04/2021 21:00,Stade Auguste Delaune,Stade de Reims,Olympique de Marseille,1 - 3
34,24/04/2021 13:00,Stade Geoffroy-Guichard,AS Saint-Etienne,Stade Brestois 29,1 - 2
34,24/04/2021 17:00,Stade Saint-Symphorien,FC Metz,Paris Saint-Germain,1 - 3
34,25/04/2021 13:00,Allianz Riviera,OGC Nice,Montpellier Hérault SC,3 - 1
34,25/04/2021 15:00,Stade Bollaert-Delelis,RC Lens,Nîmes Olympique,2 - 1
34,25/04/2021 15:00,Stade du Moustoir,FC Lorient,Girondins de Bordeaux,4 - 1
34,25/04/2021 15:00,Roazhon Park,Stade Rennais FC,Dijon FCO,5 - 1
34,25/04/2021 15:00,Stade de la Meinau,RC Strasbourg Alsace,FC Nantes,1 - 2
34,25/04/2021 17:05,Stade Raymond Kopa,Angers SCO,AS Monaco,0 - 1
34,25/04/2021 21:00,Groupama Stadium,Olympique Lyonnais,LOSC,2 - 3
35,30/04/2021 21:00,Orange Vélodrome,Olympique de Marseille,RC Strasbourg Alsace,1 - 1
35,01/05/2021 17:00,Parc des Princes,Paris Saint-Germain,RC Lens,2 - 1
35,01/05/2021 21:00,Stade Pierre-Mauroy,LOSC,OGC Nice,2 - 0
35,02/05/2021 13:00,Matmut Atlantique,Girondins de Bordeaux,Stade Rennais FC,1 - 0
35,02/05/2021 15:00,Stade Francis-Le Blé,Stade Brestois 29,FC Nantes,1 - 4
35,02/05/2021 15:00,Stade Gaston Gérard,Dijon FCO,FC Metz,1 - 5
35,02/05/2021 15:00,Stade du Moustoir,FC Lorient,Angers SCO,2 - 0
35,02/05/2021 15:00,Stade des Costières,Nîmes Olympique,Stade de Reims,2 - 2
35,02/05/2021 17:05,Stade de la Mosson,Montpellier Hérault SC,AS Saint-Etienne,1 - 2
35,02/05/2021 21:00,Stade Louis II,AS Monaco,Olympique Lyonnais,2 - 3
36,07/05/2021 21:00,Stade Bollaert-Delelis,RC Lens,LOSC,0 - 3
36,08/05/2021 13:00,Stade de la Beaujoire,FC Nantes,Girondins de Bordeaux,3 - 0
36,08/05/2021 17:00,Groupama Stadium,Olympique Lyonnais,FC Lorient,4 - 1
36,09/05/2021 13:00,Stade Geoffroy-Guichard,AS Saint-Etienne,Olympique de Marseille,1 - 0
36,09/05/2021 15:00,Stade Raymond Kopa,Angers SCO,Dijon FCO,3 - 0
36,09/05/2021 15:00,Stade Saint-Symphorien,FC Metz,Nîmes Olympique,0 - 3
36,09/05/2021 15:00,Allianz Riviera,OGC Nice,Stade Brestois 29,3 - 2
36,09/05/2021 15:00,Stade de la Meinau,RC Strasbourg Alsace,Montpellier Hérault SC,2 - 3
36,09/05/2021 17:05,Stade Auguste Delaune,Stade de Reims,AS Monaco,0 - 1
36,09/05/2021 21:00,Roazhon Park,Stade Rennais FC,Paris Saint-Germain,1 - 1
37,16/05/2021 21:00,Matmut Atlantique,Girondins de Bordeaux,RC Lens,3 - 0
37,16/05/2021 21:00,Stade Gaston Gérard,Dijon FCO,FC Nantes,0 - 4
37,16/05/2021 21:00,Stade Pierre-Mauroy,LOSC,AS Saint-Etienne,0 - 0
37,16/05/2021 21:00,Stade du Moustoir,FC Lorient,FC Metz,2 - 1
37,16/05/2021 21:00,Orange Vélodrome,Olympique de Marseille,Angers SCO,3 - 2
37,16/05/2021 21:00,Stade Louis II,AS Monaco,Stade Rennais FC,2 - 1
37,16/05/2021 21:00,Stade de la Mosson,Montpellier Hérault SC,Stade Brestois 29,0 - 0
37,16/05/2021 21:00,Allianz Riviera,OGC Nice,RC Strasbourg Alsace,0 - 2
37,16/05/2021 21:00,Stade des Costières,Nîmes Olympique,Olympique Lyonnais,2 - 5
37,16/05/2021 21:00,Parc des Princes,Paris Saint-Germain,Stade de Reims,4 - 0
38,23/05/2021 21:00,Stade Raymond Kopa,Angers SCO,LOSC,1 - 2
38,23/05/2021 21:00,Stade Francis-Le Blé,Stade Brestois 29,Paris Saint-Germain,0 - 2
38,23/05/2021 21:00,Stade Bollaert-Delelis,RC Lens,AS Monaco,0 - 0
38,23/05/2021 21:00,Groupama Stadium,Olympique Lyonnais,OGC Nice,2 - 3
38,23/05/2021 21:00,Stade Saint-Symphorien,FC Metz,Olympique de Marseille,1 - 1
38,23/05/2021 21:00,Stade de la Beaujoire,FC Nantes,Montpellier Hérault SC,1 - 2
38,23/05/2021 21:00,Stade Auguste Delaune,Stade de Reims,Girondins de Bordeaux,1 - 2
38,23/05/2021 21:00,Roazhon Park,Stade Rennais FC,Nîmes Olympique,2 - 0
38,23/05/2021 21:00,Stade Geoffroy-Guichard,AS Saint-Etienne,Dijon FCO,0 - 1
38,23/05/2021 21:00,Stade de la Meinau,RC Strasbourg Alsace,FC Lorient,1 - 1
