Round Number,Date,Location,homeTeam,Away Team,Result
30,16/03/2019 20:00:00,Stade Raymond Kopa,Angers SCO,Amiens SC,0 - 0
30,16/03/2019 20:00:00,Stade Michel d'Ornano,SM Caen,AS Saint-Etienne,0 - 5
30,16/03/2019 20:00:00,Stade de Roudourou,EA Guingamp,Dijon FCO,1 - 0
30,16/03/2019 20:00:00,Stade des Costières,Nîmes Olympique,RC Strasbourg Alsace,2 - 2
30,17/03/2019 14:30:00,Parc Olympique Lyonnais,Olympique Lyonnais,Montpellier Hérault SC,3 - 2
30,17/03/2019 15:00:00,Stade Auguste-Delaune,Stade de Reims,FC Nantes,1 - 0
30,17/03/2019 17:00:00,Nouveau Stade de Bordeaux,Girondins de Bordeaux,Stade Rennais FC,1 - 1
30,17/03/2019 21:00:00,Parc des Princes,Paris Saint-Germain,Olympique de Marseille,3 - 1
31,29/03/2019 20:45:00,Roazhon Park,Stade Rennais FC,Olympique Lyonnais,0 - 1
31,30/03/2019 17:00:00,Stade Vélodrome,Olympique de Marseille,Angers SCO,2 - 2
31,31/03/2019 15:00:00,Stade de la Licorne,Amiens SC,Girondins de Bordeaux,0 - 0
31,31/03/2019 15:00:00,Stade Gaston Gérard,Dijon FCO,OGC Nice,0 - 1
31,31/03/2019 15:00:00,Stade Louis II,AS Monaco,SM Caen,0 - 1
31,31/03/2019 17:00:00,Stade de la Beaujoire,FC Nantes,LOSC,2 - 3
31,31/03/2019 21:00:00,Stadium Municipal,Toulouse FC,Paris Saint-Germain,0 - 1
31,01/04/2019 20:30:00,Stade Geoffroy-Guichard,AS Saint-Etienne,Nîmes Olympique,2 - 1
31,03/04/2019 19:00:00,Stade de la Mosson,Montpellier Hérault SC,EA Guingamp,2 - 0
31,03/04/2019 19:00:00,Stade de la Meinau,RC Strasbourg Alsace,Stade de Reims,4 - 0
32,05/04/2019 20:45:00,Nouveau Stade de Bordeaux,Girondins de Bordeaux,Olympique de Marseille,2 - 0
32,06/04/2019 17:00:00,Parc Olympique Lyonnais,Olympique Lyonnais,Dijon FCO,1 - 3
32,06/04/2019 20:00:00,Stade de la Licorne,Amiens SC,AS Saint-Etienne,2 - 2
32,06/04/2019 20:00:00,Stade Raymond Kopa,Angers SCO,Stade Rennais FC,3 - 3
32,06/04/2019 20:00:00,Stade de Roudourou,EA Guingamp,AS Monaco,1 - 1
32,06/04/2019 20:00:00,Stade des Costières,Nîmes Olympique,SM Caen,2 - 0
32,07/04/2019 15:00:00,Allianz Riviera,OGC Nice,Montpellier Hérault SC,1 - 0
32,07/04/2019 15:00:00,Stade Auguste-Delaune,Stade de Reims,LOSC,1 - 1
32,07/04/2019 15:00:00,Stadium Municipal,Toulouse FC,FC Nantes,1 - 0
32,07/04/2019 21:00:00,Parc des Princes,Paris Saint-Germain,RC Strasbourg Alsace,2 - 2
32,09/04/2019 19:00:00,Stade des Costières,Nîmes Olympique,Stade Rennais FC,3 - 1
33,12/04/2019 19:00:00,Stade Gaston Gérard,Dijon FCO,Amiens SC,0 - 0
33,12/04/2019 20:45:00,Stade de la Beaujoire,FC Nantes,Olympique Lyonnais,2 - 1
33,13/04/2019 17:00:00,Stade Vélodrome,Olympique de Marseille,Nîmes Olympique,2 - 1
33,13/04/2019 20:00:00,Stade Michel d'Ornano,SM Caen,Angers SCO,0 - 1
33,13/04/2019 20:00:00,Stade Louis II,AS Monaco,Stade de Reims,0 - 0
33,13/04/2019 20:00:00,Stade de la Meinau,RC Strasbourg Alsace,EA Guingamp,3 - 3
33,14/04/2019 15:00:00,Stade de la Mosson,Montpellier Hérault SC,Toulouse FC,2 - 1
33,14/04/2019 15:00:00,Roazhon Park,Stade Rennais FC,OGC Nice,0 - 0
33,14/04/2019 17:00:00,Stade Geoffroy-Guichard,AS Saint-Etienne,Girondins de Bordeaux,3 - 0
33,14/04/2019 21:00:00,Stade Pierre-Mauroy,LOSC,Paris Saint-Germain,5 - 1
33,17/04/2019 19:00:00,Stade de la Beaujoire,FC Nantes,Paris Saint-Germain,3 - 2
34,19/04/2019 19:00:00,Stade Gaston Gérard,Dijon FCO,Stade Rennais FC,3 - 2
34,19/04/2019 20:45:00,Parc Olympique Lyonnais,Olympique Lyonnais,Angers SCO,2 - 1
34,20/04/2019 17:00:00,Stade de Roudourou,EA Guingamp,Olympique de Marseille,1 - 3
34,20/04/2019 20:00:00,Allianz Riviera,OGC Nice,SM Caen,0 - 1
34,20/04/2019 20:00:00,Stade des Costières,Nîmes Olympique,Girondins de Bordeaux,2 - 1
34,20/04/2019 20:00:00,Stade de la Meinau,RC Strasbourg Alsace,Montpellier Hérault SC,1 - 3
34,21/04/2019 15:00:00,Stade de la Beaujoire,FC Nantes,Amiens SC,3 - 2
34,21/04/2019 15:00:00,Stadium Municipal,Toulouse FC,LOSC,0 - 0
34,21/04/2019 17:00:00,Stade Auguste-Delaune,Stade de Reims,AS Saint-Etienne,0 - 2
34,21/04/2019 21:00:00,Parc des Princes,Paris Saint-Germain,AS Monaco,3 - 1
35,26/04/2019 20:45:00,Nouveau Stade de Bordeaux,Girondins de Bordeaux,Olympique Lyonnais,2 - 3
35,28/04/2019 15:00:00,Stade de la Licorne,Amiens SC,RC Strasbourg Alsace,0 - 0
35,28/04/2019 15:00:00,Stade Raymond Kopa,Angers SCO,Stade de Reims,1 - 1
35,28/04/2019 15:00:00,Stade Michel d'Ornano,SM Caen,Dijon FCO,1 - 0
35,28/04/2019 15:00:00,Stade Pierre-Mauroy,LOSC,Nîmes Olympique,5 - 0
35,28/04/2019 15:00:00,Allianz Riviera,OGC Nice,EA Guingamp,3 - 0
35,28/04/2019 17:00:00,Stade Geoffroy-Guichard,AS Saint-Etienne,Toulouse FC,2 - 0
35,28/04/2019 21:00:00,Stade Vélodrome,Olympique de Marseille,FC Nantes,1 - 2
35,30/04/2019 19:00:00,Stade de la Mosson,Montpellier Hérault SC,Paris Saint-Germain,3 - 2
35,01/05/2019 19:00:00,Roazhon Park,Stade Rennais FC,AS Monaco,2 - 2
36,03/05/2019 20:45:00,Stade de la Meinau,RC Strasbourg Alsace,Olympique de Marseille,1 - 1
36,04/05/2019 17:00:00,Parc des Princes,Paris Saint-Germain,OGC Nice,1 - 1
36,04/05/2019 20:00:00,Nouveau Stade de Bordeaux,Girondins de Bordeaux,Angers SCO,0 - 1
36,04/05/2019 20:00:00,Stade de Roudourou,EA Guingamp,SM Caen,0 - 0
36,04/05/2019 20:00:00,Stade Auguste-Delaune,Stade de Reims,Nîmes Olympique,0 - 3
36,05/05/2019 15:00:00,Stade de la Mosson,Montpellier Hérault SC,Amiens SC,1 - 1
36,05/05/2019 15:00:00,Stade de la Beaujoire,FC Nantes,Dijon FCO,3 - 0
36,05/05/2019 15:00:00,Stadium Municipal,Toulouse FC,Stade Rennais FC,2 - 2
36,05/05/2019 17:00:00,Stade Louis II,AS Monaco,AS Saint-Etienne,2 - 3
36,05/05/2019 21:00:00,Parc Olympique Lyonnais,Olympique Lyonnais,LOSC,2 - 2
37,10/05/2019 20:45:00,Stade Geoffroy-Guichard,AS Saint-Etienne,Montpellier Hérault SC,0 - 1
37,11/05/2019 17:00:00,Stade Raymond Kopa,Angers SCO,Paris Saint-Germain,1 - 2
37,11/05/2019 20:00:00,Stade de la Licorne,Amiens SC,Toulouse FC,0 - 0
37,11/05/2019 20:00:00,Stade Michel d'Ornano,SM Caen,Stade de Reims,3 - 2
37,11/05/2019 20:00:00,Stade Gaston Gérard,Dijon FCO,RC Strasbourg Alsace,2 - 1
37,11/05/2019 20:00:00,Allianz Riviera,OGC Nice,FC Nantes,1 - 1
37,11/05/2019 20:00:00,Stade des Costières,Nîmes Olympique,AS Monaco,1 - 0
37,12/05/2019 15:00:00,Roazhon Park,Stade Rennais FC,EA Guingamp,1 - 1
37,12/05/2019 17:00:00,Stade Pierre-Mauroy,LOSC,Girondins de Bordeaux,1 - 0
37,12/05/2019 21:00:00,Stade Vélodrome,Olympique de Marseille,Olympique Lyonnais,0 - 3
38,18/05/2019 21:00:00,Nouveau Stade de Bordeaux,Girondins de Bordeaux,Stade de Reims,0 - 1
38,18/05/2019 21:00:00,Stade de Roudourou,EA Guingamp,Nîmes Olympique,2 - 2
38,18/05/2019 21:00:00,Stade Pierre-Mauroy,LOSC,Angers SCO,5 - 0
38,18/05/2019 21:00:00,Parc Olympique Lyonnais,Olympique Lyonnais,SM Caen,4 - 0
38,18/05/2019 21:00:00,Stade Louis II,AS Monaco,Amiens SC,2 - 0
38,18/05/2019 21:00:00,Stade de la Mosson,Montpellier Hérault SC,FC Nantes,1 - 1
38,18/05/2019 21:00:00,Parc des Princes,Paris Saint-Germain,Dijon FCO,4 - 0
38,18/05/2019 21:00:00,Stade Geoffroy-Guichard,AS Saint-Etienne,OGC Nice,3 - 0
38,18/05/2019 21:00:00,Stade de la Meinau,RC Strasbourg Alsace,Stade Rennais FC,0 - 2
38,18/05/2019 21:00:00,Stadium Municipal,Toulouse FC,Olympique de Marseille,2 - 5
39,24/05/2019 21:05:00,Stade de la Licorne,Amiens SC,EA Guingamp,2 - 1
39,24/05/2019 21:05:00,Stade Raymond Kopa,Angers SCO,AS Saint-Etienne,1 - 1
39,24/05/2019 21:05:00,Stade Michel d'Ornano,SM Caen,Girondins de Bordeaux,0 - 1
39,24/05/2019 21:05:00,Stade Gaston Gérard,Dijon FCO,Toulouse FC,2 - 1
39,24/05/2019 21:05:00,Stade Vélodrome,Olympique de Marseille,Montpellier Hérault SC,1 - 0
39,24/05/2019 21:05:00,Stade de la Beaujoire,FC Nantes,RC Strasbourg Alsace,0 - 1
39,24/05/2019 21:05:00,Allianz Riviera,OGC Nice,AS Monaco,2 - 0
39,24/05/2019 21:05:00,Stade des Costières,Nîmes Olympique,Olympique Lyonnais,2 - 3
39,24/05/2019 21:05:00,Stade Auguste-Delaune,Stade de Reims,Paris Saint-Germain,3 - 1
39,24/05/2019 21:05:00,Roazhon Park,Stade Rennais FC,LOSC,3 - 1
